Половое воспитание,https://www.kinopoisk.ru/film/1147693/,Великобритания,"драма, комедия",8.2
Лучше звоните Солу,https://www.kinopoisk.ru/film/796660/,США,"драма, криминал",8.1
Остаться в живых,https://www.kinopoisk.ru/film/104122/,США,"фантастика, детектив",8.1
Staged,https://www.kinopoisk.ru/film/1384808/,Великобритания,комедия,8.1
Воскресший Эртугрул,https://www.kinopoisk.ru/film/880719/,Турция,"боевик, драма",8.1
Обмани меня,https://www.kinopoisk.ru/film/428930/,США,"триллер, драма",8.1
Дрянь,https://www.kinopoisk.ru/film/991739/,Великобритания,"драма, комедия",8.1
Парки и зоны отдыха,https://www.kinopoisk.ru/film/455368/,США,комедия,8.1
Большая маленькая ложь,https://www.kinopoisk.ru/film/947758/,США,"детектив, драма",8.1
Тьма,https://www.kinopoisk.ru/film/1032606/,"Германия, США","триллер, фантастика",8.1
Детективное агентство Дирка Джентли,https://www.kinopoisk.ru/film/968767/,США,"фантастика, детектив",8.1
Охотник за разумом,https://www.kinopoisk.ru/film/958500/,США,"триллер, драма",8.1
Родина,https://www.kinopoisk.ru/film/574688/,США,"триллер, драма",8.1
Измены,https://www.kinopoisk.ru/film/839356/,Россия,мелодрама,8.1
Полицейский с Рублёвки,https://www.kinopoisk.ru/film/913033/,Россия,"криминал, комедия",8.1
Метод,https://www.kinopoisk.ru/film/838050/,Россия,"триллер, криминал",8.1
Отбросы,https://www.kinopoisk.ru/film/485542/,Великобритания,"фантастика, драма",8.1
Отчаянные домохозяйки,https://www.kinopoisk.ru/film/160958/,США,"драма, мелодрама",8.1
Менталист,https://www.kinopoisk.ru/film/412344/,США,"триллер, детектив",8.1
Как избежать наказания за убийство,https://www.kinopoisk.ru/film/804876/,США,"триллер, драма",8.1
Южный Парк,https://www.kinopoisk.ru/film/161252/,США,"мультфильм, комедия",8.1
Убийство,https://www.kinopoisk.ru/film/518075/,"США, Канада","триллер, детектив",8.1
Мыслить как преступник,https://www.kinopoisk.ru/film/355828/,"США, Канада","триллер, драма",8.1
Ганнибал,https://www.kinopoisk.ru/film/682468/,США,"детектив, триллер",8.1
Сообщество,https://www.kinopoisk.ru/film/471825/,США,комедия,8.0
Полночные откровения,https://www.kinopoisk.ru/film/1360000/,США,"мультфильм, комедия",8.0
Призраки дома на холме,https://www.kinopoisk.ru/film/1044279/,США,"драма, ужасы",8.0
Потерянная комната,https://www.kinopoisk.ru/film/276268/,США,"фантастика, детектив",8.0
Йеллоустоун,https://www.kinopoisk.ru/film/1045172/,США,"драма, вестерн",8.0
Уэйн,https://www.kinopoisk.ru/film/1167154/,США,"боевик, комедия",8.0
Мир Дикого Запада,https://www.kinopoisk.ru/film/195523/,США,"фантастика, драма",8.0
Дело,https://www.kinopoisk.ru/film/806687/,Бразилия,"драма, комедия",8.0
Секс в большом городе,https://www.kinopoisk.ru/film/77042/,США,"драма, мелодрама",8.0
Чужестранка,https://www.kinopoisk.ru/film/818284/,"США, Великобритания","фэнтези, драма",8.0
Шучу,https://www.kinopoisk.ru/film/1161788/,США,"драма, комедия",8.0
Ходячие мертвецы,https://www.kinopoisk.ru/film/508161/,США,"ужасы, триллер",8.0
Касл,https://www.kinopoisk.ru/film/409640/,США,"драма, мелодрама",8.0
Грань,https://www.kinopoisk.ru/film/412342/,"США, Канада","фантастика, триллер",8.0
Домашний арест,https://www.kinopoisk.ru/film/1044487/,Россия,комедия,8.0
Убийство на пляже,https://www.kinopoisk.ru/film/736182/,Великобритания,"драма, криминал",8.0
Детство Шелдона,https://www.kinopoisk.ru/film/1040419/,США,комедия,8.0
Вечность,https://www.kinopoisk.ru/film/823594/,США,"фантастика, фэнтези",8.0
Кости,https://www.kinopoisk.ru/film/243595/,США,"драма, мелодрама",7.9
Американская история ужасов,https://www.kinopoisk.ru/film/589167/,США,"ужасы, триллер",7.9
Дневники вампира,https://www.kinopoisk.ru/film/453191/,США,"драма, фэнтези",7.9
Новый Папа,https://www.kinopoisk.ru/film/1048602/,"Италия, Франция",драма,7.9
Сладкая жизнь,https://www.kinopoisk.ru/film/839711/,Россия,"драма, комедия",7.9
Чем мы заняты в тени,https://www.kinopoisk.ru/film/1113116/,США,"комедия, ужасы",7.9
Однажды в сказке,https://www.kinopoisk.ru/film/585595/,США,"фэнтези, мелодрама",7.9
Мандалорец,https://www.kinopoisk.ru/film/1118138/,США,"фантастика, боевик",7.9
Хороший доктор,https://www.kinopoisk.ru/film/1011528/,США,драма,7.9
Меломанка,https://www.kinopoisk.ru/film/1165440/,США,"мелодрама, комедия",7.9
Утреннее шоу,https://www.kinopoisk.ru/film/1048143/,США,драма,7.9
Пространство,https://www.kinopoisk.ru/film/805092/,"Канада, США","фантастика, триллер",7.9
Чернобыль: Зона отчуждения,https://www.kinopoisk.ru/film/727157/,Россия,"триллер, фантастика",7.9
Мир! Дружба! Жвачка!,https://www.kinopoisk.ru/film/1306638/,Россия,"комедия, драма",7.8
Триггер,https://www.kinopoisk.ru/film/1100777/,Россия,драма,7.8
Оранжевый — хит сезона,https://www.kinopoisk.ru/film/767164/,США,"драма, комедия",7.8
Озарк,https://www.kinopoisk.ru/film/1045553/,США,"триллер, драма",7.8
Мистер Робот,https://www.kinopoisk.ru/film/859908/,США,"триллер, драма",7.8
11.22.63,https://www.kinopoisk.ru/film/891337/,США,"фантастика, триллер",7.8
Неортодоксальная,https://www.kinopoisk.ru/film/1272958/,Германия,драма,7.8
Благие знамения,https://www.kinopoisk.ru/film/585727/,"Великобритания, США","фэнтези, комедия",7.8
Последнее королевство,https://www.kinopoisk.ru/film/863829/,Великобритания,"боевик, драма",7.8
Нормальные люди,https://www.kinopoisk.ru/film/1277987/,Ирландия,"драма, мелодрама",7.8
Рассказ служанки,https://www.kinopoisk.ru/film/1007426/,США,"фантастика, триллер",7.8
Элита,https://www.kinopoisk.ru/film/1117735/,Испания,"триллер, драма",7.8
Конец ***го мира,https://www.kinopoisk.ru/film/1071384/,Великобритания,"триллер, драма",7.8
Зачарованные,https://www.kinopoisk.ru/film/77043/,США,"фэнтези, драма",7.8
Атланта,https://www.kinopoisk.ru/film/882408/,США,"драма, комедия",7.8
Невероятное,https://www.kinopoisk.ru/film/1169469/,США,"детектив, криминал",7.7
Новичок,https://www.kinopoisk.ru/film/1142153/,США,"драма, комедия",7.7
Родители года,https://www.kinopoisk.ru/film/1130970/,Великобритания,комедия,7.7
Папик,https://www.kinopoisk.ru/film/1330161/,Украина,"комедия, мелодрама",7.7
Королевство,https://www.kinopoisk.ru/film/1039674/,Корея Южная,"ужасы, боевик",7.7
Убивая Еву,https://www.kinopoisk.ru/film/1046229/,"США, Великобритания","боевик, триллер",7.7
Защищая Джейкоба,https://www.kinopoisk.ru/film/673871/,США,"триллер, драма",7.7
Временно недоступен,https://www.kinopoisk.ru/film/841467/,Россия,комедия,7.7
Табу,https://www.kinopoisk.ru/film/932068/,Великобритания,"триллер, драма",7.7
Эйфория,https://www.kinopoisk.ru/film/1178445/,США,драма,7.7
Проект «Анна Николаевна»,https://www.kinopoisk.ru/film/1322389/,Россия,"комедия, фантастика",7.7
Квест,https://www.kinopoisk.ru/film/789671/,"Россия, Латвия","приключения, триллер",7.6
НольНольНоль,https://www.kinopoisk.ru/film/1132285/,Италия,"криминал, драма",7.6
Кто есть Америка?,https://www.kinopoisk.ru/film/1171967/,США,комедия,7.6
Обычная женщина,https://www.kinopoisk.ru/film/1108686/,Россия,"драма, криминал",7.6
Люцифер,https://www.kinopoisk.ru/film/893621/,США,"фэнтези, драма",7.6
Политик,https://www.kinopoisk.ru/film/1114279/,США,комедия,7.6
Чудотворцы,https://www.kinopoisk.ru/film/1111018/,США,"комедия, фэнтези",7.6
И повсюду тлеют пожары,https://www.kinopoisk.ru/film/1140015/,США,драма,7.6
Отель Хазбин,https://www.kinopoisk.ru/film/1322678/,США,"мультфильм, мюзикл",7.6
Острые предметы,https://www.kinopoisk.ru/film/737644/,США,"триллер, драма",7.6
Притворство,https://www.kinopoisk.ru/film/1179113/,США,"драма, биография",7.5
Видоизменённый углерод,https://www.kinopoisk.ru/film/669089/,США,"фантастика, детектив",7.5
Алекс Райдер,https://www.kinopoisk.ru/film/1046704/,"Великобритания, США","боевик, триллер",7.5
"Я знаю, что это правда",https://www.kinopoisk.ru/film/1115132/,США,драма,7.5
Академия 'Амбрелла',https://www.kinopoisk.ru/film/463401/,США,"фантастика, фэнтези",7.5
Солнечные противоположности,https://www.kinopoisk.ru/film/1190304/,США,"мультфильм, фантастика",7.5
Знахарь,https://www.kinopoisk.ru/film/1093784/,Россия,"драма, мелодрама",7.5
Проповедник,https://www.kinopoisk.ru/film/461353/,США,"ужасы, фэнтези",7.5
Загрузка,https://www.kinopoisk.ru/film/1127489/,США,"фантастика, комедия",7.5
Шторм,https://www.kinopoisk.ru/film/1040562/,Россия,"драма, детектив",7.5
